name,country,lat,lon,population,,,
Huainan,CN,32.62639,116.99694,1027655,,,
Kunming,CN,25.03889,102.71833,1023674,,,
Calgary,CA,51.05011,-114.08529,1019942,,,
Brussels,BE,50.85045,4.34878,1019022,,,
Nova Iguaçu,BR,-22.75917,-43.45111,1002118,,,
Jieyang,CN,23.52886,116.36416,1001985,,,
Zhu Cheng City,CN,35.99502,119.40259,1000000,,,
Baoding,CN,38.85111,115.49028,995652,,,
Guatemala City,GT,14.64072,-90.51327,994938,,,
Benxi,CN,41.28861,123.765,987717,,,
Birmingham,GB,52.48142,-1.89983,984333,,,
Köln,DE,50.93333,6.95,963395,,,
Maceió,BR,-9.66583,-35.73528,954991,,,
Cartagena,CO,10.39972,-75.51444,952024,,,
Changzhou,CN,31.77358,119.95401,949018,,,
São Luís,BR,-2.52972,-44.30278,917237,,,
Huaibei,CN,33.97444,116.79167,903039,,,
Cochabamba,BO,-17.3895,-66.1568,900414,,,
Abobo,CI,5.41613,-4.0159,900000,,,
Pingdingshan,CN,33.73847,113.30119,889675,,,
Qiqihar,CN,47.34088,123.96045,882364,,,
Mendoza,AR,-32.89084,-68.82717,876884,,,
Mbuji-Mayi,CD,-6.13603,23.58979,874761,,,
Wenzhou,CN,27.99942,120.66682,865672,,,
Tegucigalpa,HN,14.0818,-87.20681,850848,,,
Padang,ID,-0.94924,100.35427,840352,,,
Duque de Caxias,BR,-22.78556,-43.31167,818329,,,
Valencia,ES,39.46975,-0.37739,814208,,,
La Paz,BO,-16.5,-68.15,812799,,,
Ottawa,CA,45.41117,-75.69812,812129,,,
Nanning,CN,22.81667,108.31667,803788,,,
Bandarlampung,ID,-5.42544,105.25803,800348,,,
Zagreb - Centar,HR,45.81313,15.97753,800000,,,
Bogor,ID,-6.59444,106.78917,800000,,,
Marseille,FR,43.29695,5.38107,794811,,,
Boumerdas,DZ,36.76639,3.47717,786499,,,
Anyang,CN,36.09944,114.32889,781129,,,
San Miguel de Tucumán,AR,-26.82414,-65.2226,781023,,,
Hohhot,CN,40.81056,111.65222,774477,,,
Shangyu,CN,30.01556,120.87111,770000,,,
Xining,CN,36.62554,101.75739,767531,,,
Natal,BR,-5.795,-35.20944,763043,,,
Qinhuangdao,CN,39.93167,119.58833,759718,,,
Hengyang,CN,26.88806,112.615,759602,,,
Malang,ID,-7.9797,112.6304,746716,,,
Teresina,BR,-5.08917,-42.80194,744512,,,
Xinxiang,CN,35.30889,113.86722,743601,,,
São Bernardo do Campo,BR,-23.69389,-46.565,743372,,,
Hegang,CN,47.35118,130.30012,743307,,,
Campo Grande,BR,-20.44278,-54.64639,729151,,,
Athens,GR,37.97945,23.71622,729137,,,
Cúcuta,CO,7.89391,-72.50782,721398,,,
Langfang,CN,39.50972,116.69472,720119,,,
Ningbo,CN,29.87819,121.54945,719867,,,
Yantai,CN,37.47649,121.44081,719332,,,
Edmonton,CA,53.55014,-113.46871,712391,,,
Zhuzhou,CN,27.83333,113.15,709358,,,
Pekanbaru,ID,0.53333,101.45,703956,,,
Sevilla,ES,37.38241,-5.97613,703206,,,
Jaboatão,BR,-8.18028,-35.00139,702621,,,
Santo Domingo Oeste,DO,18.5,-70,701269,,,
Rājshāhi,BD,24.374,88.60114,700133,,,
Changzhi,CN,35.20889,111.73861,699514,,,
Zagreb,HR,45.81444,15.97798,698966,,,
Sarajevo,BA,43.84864,18.35644,696731,,,
La Plata,AR,-34.92145,-57.95453,694167,,,
Zhangjiakou,CN,40.81,114.87944,692602,,,
Cotonou,BJ,6.36536,2.41833,690584,,,
Zigong,CN,29.34162,104.77689,689961,,,
Fuxin,CN,42.01556,121.65889,689050,,,
Huangshi,CN,30.24706,115.04814,688090,,,
Liaoyang,CN,41.27194,123.17306,687890,,,
Osasco,BR,-23.5325,-46.79167,677856,,,
Zaragoza,ES,41.65606,-0.87734,674317,,,
Xiangtan,CN,27.85,112.9,674189,,,
Zibo,CN,36.79056,118.06333,669770,,,
Mississauga,CA,43.5789,-79.6583,668549,,,
Puyang,CN,35.70278,115.00528,666322,,,
Nantong,CN,32.03028,120.87472,666251,,,
Mudanjiang,CN,44.58333,129.6,665915,,,
Santo André,BR,-23.66389,-46.53833,662373,,,
Pointe-Noire,CG,-4.77609,11.86352,659084,,,
João Pessoa,BR,-7.115,-34.86306,650883,,,
Frankfurt am Main,DE,50.11552,8.68417,650000,,,
Guilin,CN,25.28194,110.28639,649352,,,
Oran,DZ,35.69111,-0.64167,645984,,,
Zhanjiang,CN,21.28145,110.34271,637790,,,
Yogyakarta,ID,-7.78278,110.36083,636660,,,
North York,CA,43.76681,-79.4163,636000,,,
Tébessa,DZ,35.40417,8.12417,634332,,,
Zhenjiang,CN,32.21086,119.45508,632552,,,
Winnipeg,CA,49.8844,-97.14704,632063,,,
Dandong,CN,40.12917,124.39472,631973,,,
Jaboatão dos Guararapes,BR,-8.11278,-35.01472,630008,,,
Shaoguan,CN,24.8,113.58333,628749,,,
Yancheng,CN,33.38556,120.12528,628441,,,
Foshan,CN,23.02677,113.13148,627348,,,
Contagem,BR,-19.93167,-44.05361,627123,,,
Panshan,CN,41.18806,122.04944,625040,,,
Djibouti,DJ,11.58901,43.14503,623891,,,
Ribeirão Preto,BR,-21.1775,-47.81028,619746,,,
Haikou,CN,20.04583,110.34167,615835,,,
São José dos Campos,BR,-23.17944,-45.88694,613764,,,
Taizhou,CN,32.49069,119.90812,612356,,,
Xingtai,CN,37.06306,114.49417,611739,,,
Glasgow,GB,55.86515,-4.25763,610268,,,
Jinzhou,CN,41.10778,121.14167,604269,,,
Abu Dhabi,AE,24.46667,54.36667,603492,,,
Shuangyashan,CN,46.63611,131.15389,600000,,,
Situbondo,ID,-7.70623,114.00976,600000,,,
Luancheng,CN,37.87917,114.65167,597130,,,
Essen,DE,51.45657,7.01228,593085,,,
Gold Coast,AU,-28.00029,153.43088,591473,,,
Yingkou,CN,40.66482,122.22833,591159,,,
Zhangzhou,CN,24.51333,117.65556,589831,,,
Stuttgart,DE,48.78232,9.17702,589793,,,
Dortmund,DE,51.51494,7.466,588462,,,
Xiamen,CN,24.47979,118.08187,578337,,,
Libreville,GA,0.39241,9.45356,578156,,,
Bengbu,CN,32.94083,117.36083,576648,,,
Düsseldorf,DE,51.22172,6.77616,573057,,,
Banjarmasin,ID,-3.31987,114.59075,572837,,,
Shihezi,CN,44.3023,86.03694,572772,,,
Bucaramanga,CO,7.12539,-73.1198,571820,,,
Málaga,ES,36.72016,-4.42034,568305,,,
Bouaké,CI,7.69385,-5.03031,567481,,,
Asmara,ER,15.33805,38.93184,563930,,,
Uberlândia,BR,-18.91861,-48.27722,563536,,,
Sorocaba,BR,-23.50167,-47.45806,558862,,,
Helsinki,FI,60.16952,24.93545,558457,,,
Santiago de Cuba,CU,20.02472,-75.82194,555865,,,
Siping,CN,43.16333,124.36861,555609,,,
Surakarta,ID,-7.55611,110.83167,555308,,,
Huai'an,CN,33.58861,119.01917,555230,,,
Mar del Plata,AR,-38.00228,-57.55754,553935,,,
Jiamusi,CN,46.79927,130.31633,549549,,,
Neijiang,CN,29.58354,105.06216,546854,,,
Bremen,DE,53.07516,8.80777,546501,,,
Sharjah,AE,25.33737,55.41206,543733,,,
Bangui,CF,4.36122,18.55496,542393,,,
Yangzhou,CN,32.39722,119.43583,539715,,,
Kisangani,CD,0.51528,25.19099,539158,,,
Port Said,EG,31.25654,32.28412,538378,,,
Guli,CN,28.88162,120.03308,536000,,,
Tanggu,CN,39.02111,117.64694,535298,,,
Jiangmen,CN,22.58333,113.08333,532419,,,
Québec,CA,46.81228,-71.21454,528595,,,
Cangzhou,CN,38.31667,116.86667,527681,,,
Cuiabá,BR,-15.59611,-56.09667,521934,,,
Hamilton,CA,43.25011,-79.84963,519949,,,
Quilmes,AR,-34.72418,-58.25265,518788,,,
Changde,CN,29.04638,111.6783,517780,,,
Jiaozuo,CN,35.23972,113.23306,517540,,,
Hannover,DE,52.37052,9.73322,515140,,,
Salta,AR,-24.7859,-65.41166,512686,,,
Aparecida de Goiânia,BR,-16.82333,-49.24389,510770,,,
Puente Alto,CL,-33.61169,-70.57577,510417,,,
Wuhu,CN,31.33728,118.37351,507524,,,
Leipzig,DE,51.33962,12.37129,504971,,,
Duisburg,DE,51.43247,6.76516,504358,,,
Zhuhai,CN,22.27694,113.56778,501199,,,
Nürnberg,DE,49.45421,11.07752,499237,,,
Shashi,CN,30.30722,112.24472,498780,,,
Cimahi,ID,-6.87222,107.5425,493698,,,
Wuwei,CN,37.92672,102.63202,493092,,,
Aracaju,BR,-10.91111,-37.07167,490175,,,
Santa Fe de la Vera Cruz,AR,-31.63333,-60.7,489505,,,
San Pedro Sula,HN,15.50417,-88.025,489466,,,
Suez,EG,29.97371,32.52627,488125,,,
Dresden,DE,51.05089,13.73832,486854,,,
Masina,CD,-4.38361,15.39139,485167,,,
Feira de Santana,BR,-12.26667,-38.96667,481911,,,
Homyel’,BY,52.4345,30.9754,480951,,,
Yichang,CN,30.71444,111.28472,476725,,,
Yinchuan,CN,38.46806,106.27306,475101,,,
Mixco,GT,14.63333,-90.60639,473080,,,
Lyon,FR,45.74846,4.84671,472317,,,
Londrina,BR,-23.31028,-51.16278,471832,,,
Jiaojiang,CN,28.68028,121.44278,470804,,,
Juiz de Fora,BR,-21.76417,-43.35028,470193,,,
Liverpool,GB,53.41058,-2.97794,468945,,,
Zunyi,CN,27.68667,106.90722,466292,,,
Jiaxing,CN,30.7522,120.75,466101,,,
Belford Roxo,BR,-22.76417,-43.39944,466096,,,
Liaoyuan,CN,42.90361,125.13583,465249,,,
Kananga,CD,-5.89624,22.41659,463546,,,
Xiangyang,CN,32.0422,112.14479,462956,,,
Dadukou,CN,26.5479,101.70539,461513,,,
Joinville,BR,-26.30444,-48.84556,461304,,,
Antwerpen,BE,51.21989,4.40346,459805,,,
Niterói,BR,-22.88333,-43.10361,456456,,,
Hengshui,CN,37.73222,115.70111,456356,,,
Pontianak,ID,-0.03333,109.33333,455173,,,
Leeds,GB,53.79648,-1.54785,455123,,,
São João de Meriti,BR,-22.80389,-43.37222,454849,,,
Manado,ID,1.487,124.8455,451893,,,
Jining,CN,35.405,116.58139,450327,,,
Constantine,DZ,36.365,6.61472,450097,,,
Wenshan City,CN,23.36306,104.25047,450000,,,
Chengde,CN,40.9725,117.93611,449325,,,
Xuchang,CN,34.01667,113.81667,449258,,,
San Juan,AR,-31.5375,-68.53639,447048,,,
Sheffield,GB,53.38297,-1.4659,447047,,,
Carrefour,HT,18.54114,-72.39922,442156,,,
Pereira,CO,4.81333,-75.69611,440118,,,
Garoua,CM,9.3,13.4,436899,,,
Murcia,ES,37.98704,-1.13004,436870,,,
Bei’an,CN,48.26667,126.6,436444,,,
Edinburgh,GB,55.95206,-3.19648,435791,,,
Kousséri,CM,12.07689,15.03063,435547,,,
Ananindeua,BR,-1.36556,-48.37222,433956,,,
Balikpapan,ID,-1.26753,116.82887,433866,,,
Brampton,CA,43.68341,-79.76633,433806,,,
Toulouse,FR,43.60426,1.44367,433055,,,
Santa Marta,CO,11.24079,-74.19904,431781,,,
Al Maḩallah al Kubrá,EG,30.9745,31.16499,431052,,,
Bristol,GB,51.45523,-2.59665,430713,,,
Luqiao,CN,28.58023,121.37491,427890,,,
Chaozhou,CN,23.66513,116.63786,424787,,,
Likasi,CD,-10.98139,26.73333,422414,,,
Luxor,EG,25.69893,32.6421,422407,,,
Ibagué,CO,4.43889,-75.23222,421685,,,
Shaoxing,CN,30.01102,120.57153,421283,,,
Asyūţ,EG,27.18096,31.18368,420585,,,
Jambi City,ID,-1.6,103.61667,420323,,,
Al Manşūrah,EG,31.03637,31.38069,420195,,,
Kolwezi,CD,-10.71484,25.46674,418000,,,
Luohe,CN,33.57167,114.03528,417356,,,
Yangquan,CN,37.8575,113.56333,413394,,,
Florianópolis,BR,-27.59667,-48.54917,412724,,,
Wandsbek,DE,53.56667,10.1,411422,,,
Santos,BR,-23.96083,-46.33361,411403,,,
Chaoyang,CN,41.57028,120.45861,410005,,,
Kitchener,CA,43.42537,-80.5112,409112,,,
Al Ain,AE,24.19167,55.76056,408733,,,
Shiyan,CN,32.56667,110.78333,408055,,,
Villa Nueva,GT,14.52694,-90.5875,406830,,,
Ribeirão das Neves,BR,-19.76694,-44.08667,406802,,,
Denpasar,ID,-8.65,115.21667,405923,,,
Tanda,EG,30.78847,31.00192,404901,,,
Jixi,CN,45.3011,130.95718,403759,,,
Palma,ES,39.56939,2.65024,401270,,,
Yangjiang,CN,21.85564,111.96272,399735,,,
Manchester,GB,53.48095,-2.23743,395515,,,
Surrey,CA,49.10635,-122.82509,394976,,,
Vila Velha,BR,-20.32972,-40.2925,394930,,,
Weifang,CN,36.71,119.10194,394732,,,
Serra,BR,-20.12861,-40.30778,394153,,,
Tallinn,EE,59.43696,24.75353,394024,,,
Bamenda,CM,5.95266,10.15824,393835,,,
Bello,CO,6.33732,-75.55795,392939,,,
Xinpu,CN,34.59972,119.15944,392444,,,
Kandahār,AF,31.61332,65.71013,391190,,,
Diadema,BR,-23.68611,-46.62278,390633,,,
Dongguan,CN,23.04889,113.74472,390219,,,
Comilla,BD,23.46186,91.18504,389411,,,
Bissau,GW,11.86357,-15.59767,388028,,,
Campos,BR,-21.75227,-41.33044,387417,,,
Resistencia,AR,-27.46056,-58.98389,387158,,,
Mauá,BR,-23.66778,-46.46139,386069,,,
Abomey-Calavi,BJ,6.44852,2.35566,385755,,,
Bochum,DE,51.48165,7.21648,385729,,,
Betim,BR,-19.96778,-44.19833,384000,,,
N’dalatando,AO,-9.29782,14.91162,383100,,,
Delmas 73,HT,18.54472,-72.30278,382920,,,
Pasto,CO,1.21361,-77.28111,382236,,,
Las Palmas de Gran Canaria,ES,28.09973,-15.41343,381847,,,
Caxias do Sul,BR,-29.16806,-51.17944,381270,,,
Bochum-Hordel,DE,51.50168,7.1756,380000,,,
Dezhou,CN,37.44861,116.2925,379555,,,
Zhoukou,CN,33.63333,114.63333,377061,,,
Laval,CA,45.56995,-73.692,376845,,,
Putian,CN,25.43944,119.01028,376558,,,
Tirana,AL,41.3275,19.81889,374801,,,
São José do Rio Preto,BR,-20.81972,-49.37944,374699,,,
Xuanhua,CN,40.61028,115.04472,373422,,,
Pingxiang,CN,27.61672,113.85353,372123,,,
Fenghuang,CN,27.93557,109.59961,370000,,,
Brno,CZ,49.19522,16.60796,369559,,,
Mahilyow,BY,53.9168,30.3449,369200,,,
Canberra,AU,-35.28346,149.12807,367752,,,
Olinda,BR,-8.00889,-34.85528,366754,,,
Zhaoqing,CN,23.05116,112.45972,361969,,,
Carapicuíba,BR,-23.52272,-46.835,361112,,,
Wuppertal,DE,51.27027,7.16755,360797,,,
Tamale,GH,9.40078,-0.8393,360579,,,
Bobo-Dioulasso,BF,11.17715,-4.2979,360106,,,
Halifax,CA,44.64533,-63.57239,359111,,,
Anqing,CN,30.51365,117.04723,358661,,,
Manizales,CO,5.06889,-75.51738,357814,,,
Berlin Pankow,DE,52.56926,13.40186,356019,,,
Samarinda,ID,-0.5,117.15,355160,,,
Bilbao,ES,43.26271,-2.92528,354860,,,
Santiago del Estero,AR,-27.79511,-64.26149,354692,,,
Thessaloníki,GR,40.64028,22.94389,354290,,,
Neiva,CO,2.9273,-75.28188,352855,,,
Anshun,CN,26.25,105.93333,351936,,,
Campina Grande,BR,-7.23056,-35.88111,348936,,,
Etobicoke,CA,43.65421,-79.56711,347948,,,
Camagüey,CU,21.38083,-77.91694,347562,,,
London,CA,42.98339,-81.23304,346765,,,
Chifeng,CN,42.26833,118.96361,346654,,,
Taihe,CN,45.76195,130.85131,345033,,,
Rangpur,BD,25.74664,89.25166,343122,,,
Vitebsk,BY,55.1904,30.2049,342700,,,
Soledad,CO,10.91843,-74.76459,342556,,,
Shiqi,CN,22.51682,113.38521,342306,,,
Piracicaba,BR,-22.72528,-47.64917,342209,,,
Zürich,CH,47.36667,8.55,341730,,,
Plovdiv,BG,42.15,24.75,340494,,,
Yingbazha,CN,41.11312,80.26918,340020,,,
Leicester,GB,52.6386,-1.13169,339239,,,
Corrientes,AR,-27.4806,-58.8341,339067,,,
Macapá,BR,0.03889,-51.06639,338936,,,
Nice,FR,43.70313,7.26608,338620,,,
Tungi,BD,23.89154,90.40232,337579,,,
Itaquaquecetuba,BR,-23.48611,-46.34833,336679,,,
Bauru,BR,-22.31472,-49.06056,335024,,,
San José,CR,9.93333,-84.08333,335007,,,
Alicante,ES,38.34517,-0.48149,334757,,,
Tieling,CN,42.29306,123.84139,333907,,,
Jincheng,CN,35.50222,112.83278,332650,,,
Montes Claros,BR,-16.735,-43.86167,332379,,,
Bielefeld,DE,52.03333,8.53333,331906,,,
Bujumbura,BI,-3.3822,29.3644,331700,,,
Berlin Mitte,DE,52.52003,13.40489,329078,,,
Córdoba,ES,37.89155,-4.77275,328428,,,
Canoas,BR,-29.91778,-51.18361,328291,,,
Yanji,CN,42.9075,129.50778,326957,,,
Mogi das Cruzes,BR,-23.52278,-46.18833,325746,,,
São Vicente,BR,-23.96306,-46.39194,324457,,,
Suizhou,CN,31.71111,113.36306,323945,,,
Villavicencio,CO,4.142,-73.62664,321717,,,
Jundiaí,BR,-23.18639,-46.88417,321589,,,
Pelotas,BR,-31.77194,-52.3425,320674,,,
Maroua,CM,10.59095,14.31592,319941,,,
Morón,AR,-34.65344,-58.61975,319934,,,
Anápolis,BR,-16.32667,-48.95278,319587,,,
Islington,GB,51.53622,-0.10304,319143,,,
Holguín,CU,20.88722,-76.26306,319102,,,
Shangrao,CN,28.45322,117.9686,318769,,,
Mataram,ID,-8.58333,116.11667,318674,,,
Valladolid,ES,41.65518,-4.72372,317864,,,
Hrodna,BY,53.6884,23.8258,317365,,,
Berlin Wilmersdorf,DE,52.50097,13.29097,317190,,,
Baicheng,CN,45.60746,122.82076,316970,,,
Armenia,CO,4.53389,-75.68111,315328,,,
Soacha,CO,4.57937,-74.21682,313945,,,
Ganja,AZ,40.68278,46.36056,313300,,,
Lianshan,CN,40.76432,120.85327,313247,,,
Bonn,DE,50.73438,7.09548,313125,,,
Ostrava,CZ,49.83465,18.28204,313088,,,
Varna,BG,43.21667,27.91667,312770,,,
Vitória,BR,-20.31944,-40.33778,312656,,,
Wusong,CN,30.95,117.78333,312588,,,
Posadas,AR,-27.36708,-55.89608,312060,,,
Maringá,BR,-23.42528,-51.93861,311724,,,
Percut,ID,3.6253,98.864,311063,,,
Jingdezhen,CN,29.2947,117.20789,310565,,,
Guarujá,BR,-23.99306,-46.25639,310424,,,
Antofagasta,CL,-23.65236,-70.3954,309832,,,
Bengkulu,ID,-3.80044,102.26554,309712,,,
Coventry,GB,52.40656,-1.51217,308313,,,
Newcastle,AU,-32.92715,151.77647,308308,,,
Valledupar,CO,10.46314,-73.25322,308237,,,
Biskra,DZ,34.85038,5.72805,307987,,,
Mannheim,DE,49.49671,8.47955,307960,,,
Dongying,CN,37.45639,118.48556,306450,,,
Al Fayyūm,EG,29.30995,30.8418,306393,,,
Porto Velho,BR,-8.76194,-63.90389,306180,,,
San Salvador de Jujuy,AR,-24.19456,-65.29712,305891,,,
Franca,BR,-20.53861,-47.40083,305041,,,
Mazār-e Sharīf,AF,36.70904,67.11087,303282,,,
Hull,GB,53.7446,-0.33525,302296,,,
Cardiff,GB,51.48,-3.18,302139,,,
Brest,BY,52.09755,23.68775,300715,,,
Yangshuo,CN,24.78081,110.48967,300000,,,
Bradford,GB,53.79391,-1.75206,299310,,,
Jember,ID,-8.16604,113.70317,298585,,,
Okanagan,CA,50.36386,-119.34997,297601,,,
Vigo,ES,42.23282,-8.72264,297332,,,
Viña del Mar,CL,-33.02457,-71.55183,294551,,,
Blumenau,BR,-26.91944,-49.06611,293949,,,
Foz do Iguaçu,BR,-25.54778,-54.58806,293523,,,
Wollongong,AU,-34.424,150.89345,292190,,,
Ponta Grossa,BR,-25.095,-50.16194,292177,,,
Bafoussam,CM,5.47775,10.41759,290768,,,
Berlin Steglitz Zehlendorf,DE,52.43485,13.24183,290506,,,
Xiuying,CN,20.00073,110.29359,290000,,,
Paulista,BR,-7.94083,-34.87306,289971,,,
Limeira,BR,-22.56472,-47.40167,289665,,,
Victoria,CA,48.43294,-123.3693,289625,,,
Beihai,CN,21.48333,109.1,289568,,,
